CO_CODE,ADM_CODE,ADM_NAME
40,0,National level
80,0,National level
120,0,National level
160,0,National level
200,0,National level
201,0,National level
202,0,National level
240,0,National level
260,0,National level
280,0,National level
320,0,National level
340,0,National level
350,0,National level
360,0,National level
380,0,National level
400,0,National level
440,0,National level
480,0,National level
500,0,National level
520,0,National level
560,0,National level
570,0,National level
580,0,National level
600,0,National level
640,0,National level
680,0,National level
720,0,National level
760,0,National level
900,0,National level
955,0,National level
960,0,National level
1000,0,National level
1020,0,National level
1040,0,National level
1080,0,National level
1200,0,National level
1240,0,National level
1260,0,National level
1320,0,National level
1360,0,National level
1400,0,National level
1480,0,National level
1520,0,National level
1560,0,National level
1700,0,National level
1740,0,National level
1750,0,National level
1780,0,National level
1840,0,National level
1880,0,National level
1920,0,National level
1960,0,National level
2000,0,National level
2020,0,National level
2040,0,National level
2080,0,National level
2120,0,National level
2140,0,National level
2180,0,National level
2200,0,National level
2220,0,National level
2260,0,National level
2270,0,National level
2280,0,National level
2300,0,National level
2340,0,National level
2380,0,National level
2420,0,National level
2460,0,National level
2480,0,National level
2500,0,National level
2540,0,National level
2580,0,National level
2620,0,National level
2660,0,National level
2700,0,National level
2720,0,National level
2760,0,National level
2780,0,National level
2800,0,National level
2880,0,National level
2920,0,National level
2960,0,National level
3000,0,National level
3040,0,National level
3080,0,National level
3120,0,National level
3160,0,National level
3200,0,National level
3240,0,National level
3280,0,National level
3320,0,National level
3360,0,National level
3400,0,National level
3440,0,National level
3480,0,National level
3520,0,National level
3560,0,National level
3600,0,National level
3640,0,National level
3680,0,National level
3720,0,National level
3760,0,National level
3800,0,National level
3840,0,National level
3880,0,National level
3920,0,National level
4000,0,National level
4020,0,National level
4040,0,National level
4060,0,National level
4070,0,National level
4090,0,National level
4100,0,National level
4140,0,National level
4160,0,National level
4180,0,National level
4200,0,National level
4220,0,National level
4260,0,National level
4300,0,National level
4340,0,National level
4380,0,National level
4400,0,National level
4420,0,National level
4460,0,National level
4480,0,National level
4500,0,National level
4540,0,National level
4580,0,National level
4620,0,National level
4660,0,National level
4700,0,National level
4740,0,National level
4780,0,National level
4800,0,National level
4840,0,National level
4845,0,National level
4920,0,National level
4960,0,National level
4990,0,National level
5000,0,National level
5040,0,National level
5080,0,National level
5100,0,National level
5160,0,National level
5200,0,National level
5240,0,National level
5280,0,National level
5310,0,National level
5320,0,National level
5340,0,National level
5400,0,National level
5480,0,National level
5481,0,National level
5482,0,National level
5540,0,National level
5580,0,National level
5620,0,National level
5660,0,National level
5700,0,National level
5740,0,National level
5780,0,National level
5800,0,National level
5820,0,National level
5840,0,National level
5860,0,National level
5880,0,National level
5881,0,National level
5882,0,National level
5900,0,National level
5980,0,National level
6000,0,National level
6040,0,National level
6080,0,National level
6120,0,National level
6160,0,National level
6200,0,National level
6220,0,National level
6240,0,National level
6260,0,National level
6300,0,National level
6340,0,National level
6380,0,National level
6420,0,National level
6430,0,National level
6460,0,National level
6520,0,National level
6540,0,National level
6560,0,National level
6580,0,National level
6620,0,National level
6630,0,National level
6660,0,National level
6700,0,National level
6720,0,National level
6740,0,National level
6760,0,National level
6780,0,National level
6820,0,National level
6860,0,National level
6880,0,National level
6900,0,National level
6940,0,National level
7020,0,National level
7060,0,National level
7100,0,National level
7160,0,National level
7240,0,National level
7280,0,National level
7290,0,National level
7320,0,National level
7340,0,National level
7360,0,National level
7400,0,National level
7440,0,National level
7480,0,National level
7520,0,National level
7560,0,National level
7600,0,National level
7610,0,National level
7620,0,National level
7640,0,National level
7680,0,National level
7720,0,National level
7760,0,National level
7780,0,National level
7800,0,National level
7880,0,National level
7920,0,National level
7940,0,National level
7960,0,National level
8000,0,National level
8030,0,National level
8050,0,National level
8070,0,National level
8120,0,National level
8260,0,National level
8300,0,National level
8310,0,National level
8320,0,National level
8330,0,National level
8400,0,National level
8540,0,National level
8580,0,National level
8600,0,National level
8620,0,National level
8650,0,National level
8670,0,National level
8680,0,National level
8690,0,National level
8700,0,National level
8760,0,National level
8820,0,National level
8850,0,National level
8860,0,National level
8870,0,National level
8900,0,National level
8910,0,National level
8920,0,National level
8940,0,National level
9990,0,National level
19000,0,National level
19100,0,National level
19110,0,National level
19140,0,National level
19150,0,National level
19200,0,National level
19300,0,National level
19350,0,National level
19400,0,National level
19480,0,National level
19500,0,National level
19550,0,National level
19565,0,National level
19620,0,National level
19700,0,National level
19705,0,National level
19710,0,National level
19715,0,National level
19740,0,National level
19820,0,National level
19830,0,National level
19833,0,National level
19834,0,National level
19835,0,National level
19836,0,National level
19837,0,National level
19838,0,National level
19839,0,National level
19990,0,National level
