co_code,old_year,new_year,old_mc_id,new_mc_id
4060,2014,2015,20162,900327
1560,2013,2014,20162,900327
3600,2013,2014,20162,900327
4180,2011,2012,20162,900327
4180,2013,2014,20162,900327
4580,2013,2014,20162,900327
3560,2013,2014,20162,900327
5860,2013,2014,20162,900327
4060,2014,2015,20166,900328
1560,2013,2014,20166,900328
3600,2013,2014,20166,900328
4180,2011,2012,20166,900328
4180,2013,2014,20166,900328
4580,2013,2014,20166,900328
3560,2013,2014,20166,900328
5860,2013,2014,20166,900328
4060,2014,2015,20172,900329
1560,2013,2014,20172,900329
3600,2013,2014,20172,900329
4180,2011,2012,20172,900329
4180,2013,2014,20172,900329
4580,2013,2014,20172,900329
3560,2013,2014,20172,900329
5860,2013,2014,20172,900329
4060,2014,2015,20184,900330
1560,2013,2014,20184,900330
3600,2013,2014,20184,900330
4180,2011,2012,20184,900330
4180,2013,2014,20184,900330
4580,2013,2014,20184,900330
3560,2013,2014,20184,900330
5860,2013,2014,20184,900330
